code,name,category,parent_code,description
100000,资产类,ASSET,,企业会计准则应用指南附录科目表分类根节点；用于组织标准科目层级，不建议直接用于凭证分录。
200000,负债类,LIABILITY,,企业会计准则应用指南附录科目表分类根节点；用于组织标准科目层级，不建议直接用于凭证分录。
300000,共同类,COMMON,,企业会计准则应用指南附录科目表分类根节点；用于组织标准科目层级，余额方向按具体业务判断。
400000,所有者权益类,EQUITY,,企业会计准则应用指南附录科目表分类根节点；用于组织标准科目层级，不建议直接用于凭证分录。
500000,成本类,COST,,企业会计准则应用指南附录科目表分类根节点；用于组织标准科目层级，不建议直接用于凭证分录。
600000,损益类,REVENUE,,企业会计准则应用指南附录科目表分类根节点；用于组织标准科目层级，不建议直接用于凭证分录。
1001,库存现金,ASSET,100000,核算企业库存现金的收入、支出和结存。
1002,银行存款,ASSET,100000,核算企业存入银行或其他金融机构的各种款项。
1003,存放中央银行款项,ASSET,100000,核算企业银行存放于中央银行的各种款项。
1011,存放同业,ASSET,100000,核算企业银行存放于境内外银行和非银行金融机构的款项。
1012,其他货币资金,ASSET,100000,核算企业银行汇票存款、银行本票存款、信用卡存款等其他货币资金。
1021,结算备付金,ASSET,100000,核算企业证券交易资金清算与交收而存入指定清算代理机构的款项。
1031,存出保证金,ASSET,100000,核算企业金融业务需要存出或交纳的各种保证金款项。
1101,交易性金融资产,ASSET,100000,核算企业为交易目的所持有的债券投资、股票投资、基金投资等金融资产。
1111,买入返售金融资产,ASSET,100000,核算企业金融业务按照返售协议先买入再按固定价格返售的金融资产。
1121,应收票据,ASSET,100000,核算企业因销售商品、提供劳务等收到的商业汇票。
1122,应收账款,ASSET,100000,核算企业因销售商品、提供劳务等经营活动应收取的款项。
1123,预付账款,ASSET,100000,核算企业按照合同规定预付的款项。
1131,应收股利,ASSET,100000,核算企业应收取的现金股利和应收取其他单位分配的利润。
1132,应收利息,ASSET,100000,核算企业交易性金融资产、持有至到期投资、可供出售金融资产等应收取的利息。
1201,应收代位追偿款,ASSET,100000,核算企业保险业务承担赔付责任后依法取得的代位追偿款。
1211,应收分保账款,ASSET,100000,核算企业保险业务从事再保险分出业务应收取的款项。
1212,应收分保合同准备金,ASSET,100000,核算企业再保险分出业务应收分保未到期责任准备金和分保保险责任准备金。
1221,其他应收款,ASSET,100000,核算企业除应收票据、应收账款、预付账款等以外的其他各种应收及暂付款项。
1231,坏账准备,ASSET,100000,核算企业应收款项的坏账准备。
1301,贴现资产,ASSET,100000,核算企业银行办理商业票据贴现、转贴现等业务所融出的资金。
1302,拆出资金,ASSET,100000,核算企业金融业务拆借给境内外其他金融机构的款项。
1303,贷款,ASSET,100000,核算企业银行按规定发放的各种客户贷款。
1304,贷款损失准备,ASSET,100000,核算企业银行贷款的减值准备。
1311,代理兑付证券,ASSET,100000,核算企业证券、银行等接受委托代理兑付到期证券的业务。
1321,代理业务资产,ASSET,100000,核算企业不承担风险的代理业务形成的资产。
1401,材料采购,ASSET,100000,核算企业采用计划成本进行材料日常核算而购入材料的采购成本。
1402,在途物资,ASSET,100000,核算企业采用实际成本进行材料、商品等物资日常核算而尚未验收入库的在途物资成本。
1403,原材料,ASSET,100000,核算企业库存的各种材料。
1404,材料成本差异,ASSET,100000,核算企业采用计划成本进行材料日常核算的实际成本与计划成本差异。
1405,库存商品,ASSET,100000,核算企业库存的各种商品。
1406,发出商品,ASSET,100000,核算企业未满足收入确认条件但已发出商品的实际成本或计划成本。
1407,商品进销差价,ASSET,100000,核算企业采用售价进行日常核算的商品售价与进价之间的差额。
1408,委托加工物资,ASSET,100000,核算企业委托外单位加工的各种物资实际成本。
1411,周转材料,ASSET,100000,核算企业周转使用的包装物、低值易耗品等。
1421,消耗性生物资产,ASSET,100000,核算企业农业活动中持有的消耗性生物资产。
1431,贵金属,ASSET,100000,核算企业金融业务持有的黄金、白银等贵金属。
1441,抵债资产,ASSET,100000,核算企业金融业务依法取得并准备按规定处置的实物抵债资产。
1451,损余物资,ASSET,100000,核算企业保险业务按照保险合同承担赔偿责任后取得的损余物资。
1461,融资租赁资产,ASSET,100000,核算企业租赁业务为开展融资租赁而取得资产的成本。
1471,存货跌价准备,ASSET,100000,核算企业存货的跌价准备。
1501,持有至到期投资,ASSET,100000,核算企业持有至到期投资的摊余成本。
1502,持有至到期投资减值准备,ASSET,100000,核算企业持有至到期投资的减值准备。
1503,可供出售金融资产,ASSET,100000,核算企业持有的可供出售金融资产公允价值。
1511,长期股权投资,ASSET,100000,核算企业持有的长期股权投资。
1512,长期股权投资减值准备,ASSET,100000,核算企业长期股权投资的减值准备。
1521,投资性房地产,ASSET,100000,核算企业采用成本模式计量的投资性房地产成本。
1531,长期应收款,ASSET,100000,核算企业融资租赁产生的应收款项和采用递延方式分期收款实质上具有融资性质的销售商品等经营活动产生的应收款项。
1532,未实现融资收益,ASSET,100000,核算企业分期计入租赁收入或利息收入的未实现融资收益。
1541,存出资本保证金,ASSET,100000,核算企业保险业务按规定比例缴存的资本保证金。
1601,固定资产,ASSET,100000,核算企业持有的固定资产原价。
1602,累计折旧,ASSET,100000,核算企业固定资产的累计折旧。
1603,固定资产减值准备,ASSET,100000,核算企业固定资产的减值准备。
1604,在建工程,ASSET,100000,核算企业基建、更新改造等在建工程发生的支出。
1605,工程物资,ASSET,100000,核算企业为在建工程准备的各种物资成本。
1606,固定资产清理,ASSET,100000,核算企业因出售、报废、毁损等原因转入清理的固定资产价值及清理费用。
1611,未担保余值,ASSET,100000,核算企业采用融资租赁方式租出资产的未担保余值。
1621,生产性生物资产,ASSET,100000,核算企业农业活动中持有的生产性生物资产原价。
1622,生产性生物资产累计折旧,ASSET,100000,核算企业成熟生产性生物资产的累计折旧。
1623,公益性生物资产,ASSET,100000,核算企业农业活动中持有的公益性生物资产实际成本。
1631,油气资产,ASSET,100000,核算企业石油天然气开采活动持有的矿区权益和油气井及相关设施原价。
1632,累计折耗,ASSET,100000,核算企业油气资产的累计折耗。
1701,无形资产,ASSET,100000,核算企业持有的无形资产成本。
1702,累计摊销,ASSET,100000,核算企业对使用寿命有限的无形资产计提的累计摊销。
1703,无形资产减值准备,ASSET,100000,核算企业无形资产的减值准备。
1711,商誉,ASSET,100000,核算企业合并中形成的商誉价值。
1801,长期待摊费用,ASSET,100000,核算企业已经发生但应由本期和以后各期负担的分摊期限在一年以上的各项费用。
1811,递延所得税资产,ASSET,100000,核算企业确认的可抵扣暂时性差异产生的递延所得税资产。
1821,独立账户资产,ASSET,100000,核算企业保险业务确认的独立账户资产价值。
1901,待处理财产损溢,ASSET,100000,核算企业财产清查过程中查明的各种财产盘盈、盘亏和毁损价值。
2001,短期借款,LIABILITY,200000,核算企业向银行或其他金融机构等借入的期限在一年以下的各种借款。
2002,存入保证金,LIABILITY,200000,核算企业金融业务收到客户存入的各种保证金。
2003,拆入资金,LIABILITY,200000,核算企业金融业务从境内外金融机构拆入的款项。
2004,向中央银行借款,LIABILITY,200000,核算企业银行向中央银行借入的款项。
2011,吸收存款,LIABILITY,200000,核算企业银行吸收的除同业存放款项以外的其他各种存款。
2012,同业存放,LIABILITY,200000,核算企业银行吸收的境内外金融机构存款。
2021,贴现负债,LIABILITY,200000,核算企业银行办理商业票据转贴现等业务融入的资金。
2101,交易性金融负债,LIABILITY,200000,核算企业承担的交易性金融负债。
2111,卖出回购金融资产款,LIABILITY,200000,核算企业金融业务按照回购协议卖出再按固定价格买入金融资产所融入的资金。
2201,应付票据,LIABILITY,200000,核算企业购买材料、商品和接受劳务供应等开出、承兑的商业汇票。
2202,应付账款,LIABILITY,200000,核算企业因购买材料、商品和接受劳务等经营活动应支付的款项。
2203,预收账款,LIABILITY,200000,核算企业按照合同规定预收的款项。
2211,应付职工薪酬,LIABILITY,200000,核算企业根据有关规定应付给职工的各种薪酬。
2221,应交税费,LIABILITY,200000,核算企业按照税法等规定计算应交纳的各种税费。
2231,应付利息,LIABILITY,200000,核算企业按照合同约定应支付的利息。
2232,应付股利,LIABILITY,200000,核算企业分配的现金股利或利润。
2241,其他应付款,LIABILITY,200000,核算企业除应付票据、应付账款、预收账款等以外的其他各项应付、暂收款项。
2251,应付保单红利,LIABILITY,200000,核算企业保险业务按原保险合同约定应支付给投保人的红利。
2261,应付分保账款,LIABILITY,200000,核算企业保险业务从事再保险业务应付未付的款项。
2311,代理买卖证券款,LIABILITY,200000,核算企业证券业务接受客户委托代理买卖证券收到的款项。
2312,代理承销证券款,LIABILITY,200000,核算企业证券业务接受委托采用余额承购包销方式或代销方式承销证券收到的款项。
